year,quarter,state,count,amount
2024,Q3,Puducherry,2600,3968523.0
2024,Q3,Tamil Nadu,116867,162128271.0
2024,Q3,Uttar Pradesh,92930,157303596.0
2024,Q3,Madhya Pradesh,43248,77995668.0
2024,Q3,Andhra Pradesh,48014,73915199.0
2024,Q3,Tripura,2516,3323343.0
2024,Q3,Lakshadweep,49,55312.0
2024,Q3,Manipur,285,587893.0
2024,Q3,Maharashtra,119776,201319952.0
2024,Q3,Dadra & Nagar Haveli & Daman & Diu,1052,1602869.0
2024,Q3,Meghalaya,1140,2443878.0
2024,Q3,Andaman & Nicobar Islands,1191,1752800.0
2024,Q3,Haryana,49735,79198642.0
2024,Q3,Rajasthan,64533,108827800.0
2024,Q3,Ladakh,446,978637.0
2024,Q3,Punjab,15509,30111034.0
2024,Q3,Assam,17633,31388971.0
2024,Q3,Jharkhand,23629,34353146.0
2024,Q3,Odisha,26524,40608651.0
2024,Q3,Bihar,44745,62777286.0
2024,Q3,Kerala,79123,131721699.0
2024,Q3,Karnataka,174990,287393291.0
2024,Q3,Chandigarh,1991,3445738.0
2024,Q3,Telangana,64873,110715264.0
2024,Q3,Himachal Pradesh,5272,10538999.0
2024,Q3,West Bengal,77158,107451766.0
2024,Q3,Gujarat,46763,70950327.0
2024,Q3,Sikkim,461,1029398.0
2024,Q3,Nagaland,410,820539.0
2024,Q3,Mizoram,186,275746.0
2024,Q3,Chhattisgarh,16550,27724060.0
2024,Q3,Jammu & Kashmir,7597,15554635.0
2024,Q3,Goa,5354,8051690.0
2024,Q3,Arunachal Pradesh,842,1951385.0
2024,Q3,Delhi,49150,71139489.0
2024,Q3,Uttarakhand,10487,17860144.0
2024,Q4,Puducherry,2838,3896033.0
2024,Q4,Tamil Nadu,127002,173784251.0
2024,Q4,Uttar Pradesh,116589,199179867.0
2024,Q4,Madhya Pradesh,59688,101096769.0
2024,Q4,Andhra Pradesh,61425,80028914.0
2024,Q4,Tripura,2794,3765732.0
2024,Q4,Lakshadweep,159,185542.0
2024,Q4,Manipur,405,826159.0
2024,Q4,Maharashtra,168078,266942711.0
2024,Q4,Dadra & Nagar Haveli & Daman & Diu,1503,2292529.0
2024,Q4,Meghalaya,1313,2493656.0
2024,Q4,Andaman & Nicobar Islands,1293,2026380.0
2024,Q4,Haryana,58808,94316512.0
2024,Q4,Rajasthan,73530,127930986.0
2024,Q4,Ladakh,429,970334.0
2024,Q4,Punjab,16279,31878987.0
2024,Q4,Assam,21805,35336229.0
2024,Q4,Jharkhand,29079,42253614.0
2024,Q4,Odisha,33165,46973224.0
2024,Q4,Bihar,62662,83739800.0
2024,Q4,Kerala,89533,144083113.0
2024,Q4,Karnataka,183532,305861806.0
2024,Q4,Chandigarh,2095,3729932.0
2024,Q4,Telangana,78498,124755619.0
2024,Q4,Himachal Pradesh,6697,14090523.0
2024,Q4,West Bengal,91719,120602777.0
2024,Q4,Gujarat,62526,91858105.0
2024,Q4,Sikkim,599,1381680.0
2024,Q4,Nagaland,568,1168417.0
2024,Q4,Mizoram,489,811687.0
2024,Q4,Chhattisgarh,22723,37421165.0
2024,Q4,Jammu & Kashmir,8893,18252110.0
2024,Q4,Goa,6662,9903374.0
2024,Q4,Arunachal Pradesh,999,2359472.0
2024,Q4,Delhi,67962,94390728.0
2024,Q4,Uttarakhand,13090,23367549.0
2024,Q1,Puducherry,2702,3793554.0
2024,Q1,Tamil Nadu,111521,148976175.0
2024,Q1,Uttar Pradesh,103701,176442664.0
2024,Q1,Madhya Pradesh,51223,85215982.0
2024,Q1,Andhra Pradesh,46582,63563802.0
2024,Q1,Tripura,2637,3417568.0
2024,Q1,Lakshadweep,15,12935.0
2024,Q1,Manipur,385,685052.0
2024,Q1,Maharashtra,149016,224725389.0
2024,Q1,Dadra & Nagar Haveli & Daman & Diu,1295,1908509.0
2024,Q1,Meghalaya,1030,1987107.0
2024,Q1,Andaman & Nicobar Islands,1371,1964556.0
2024,Q1,Haryana,50391,81816509.0
2024,Q1,Rajasthan,59127,102926410.0
2024,Q1,Ladakh,291,614435.0
2024,Q1,Punjab,14729,28213940.0
2024,Q1,Assam,33097,48107248.0
2024,Q1,Jharkhand,24824,34332990.0
2024,Q1,Odisha,27977,40032495.0
2024,Q1,Bihar,51592,63844442.0
2024,Q1,Kerala,73106,115101791.0
2024,Q1,Karnataka,169357,264708700.0
2024,Q1,Chandigarh,1730,3143984.0
2024,Q1,Telangana,67388,105607539.0
2024,Q1,Himachal Pradesh,5430,10433254.0
2024,Q1,West Bengal,79576,104987909.0
2024,Q1,Gujarat,44665,62633910.0
2024,Q1,Sikkim,400,880182.0
2024,Q1,Nagaland,526,925684.0
2024,Q1,Mizoram,277,427693.0
2024,Q1,Chhattisgarh,19579,30083259.0
2024,Q1,Jammu & Kashmir,7313,14695182.0
2024,Q1,Goa,5225,7528093.0
2024,Q1,Arunachal Pradesh,1100,2419700.0
2024,Q1,Delhi,53050,76232346.0
2024,Q1,Uttarakhand,11533,19531483.0
2024,Q2,Puducherry,2304,3322997.0
2024,Q2,Tamil Nadu,97348,135972378.0
2024,Q2,Uttar Pradesh,92458,159894258.0
2024,Q2,Madhya Pradesh,41429,73836667.0
2024,Q2,Andhra Pradesh,42547,62948281.0
2024,Q2,Tripura,2188,2869489.0
2024,Q2,Lakshadweep,26,33630.0
2024,Q2,Manipur,346,647411.0
2024,Q2,Maharashtra,118933,198945046.0
2024,Q2,Dadra & Nagar Haveli & Daman & Diu,1008,1367259.0
2024,Q2,Meghalaya,1235,2318007.0
2024,Q2,Andaman & Nicobar Islands,1097,1744694.0
2024,Q2,Haryana,46085,74779879.0
2024,Q2,Rajasthan,55241,95504657.0
2024,Q2,Ladakh,415,964349.0
2024,Q2,Punjab,14129,27164397.0
2024,Q2,Assam,22368,34796603.0
2024,Q2,Jharkhand,22224,32245129.0
2024,Q2,Odisha,24579,36840474.0
2024,Q2,Bihar,49101,65285065.0
2024,Q2,Kerala,65271,108142369.0
2024,Q2,Karnataka,142599,239304982.0
2024,Q2,Chandigarh,1798,3177315.0
2024,Q2,Telangana,56941,96037304.0
2024,Q2,Himachal Pradesh,5194,10008705.0
2024,Q2,West Bengal,67048,89476633.0
2024,Q2,Gujarat,44007,63866463.0
2024,Q2,Sikkim,685,1590554.0
2024,Q2,Nagaland,418,685292.0
2024,Q2,Mizoram,214,331455.0
2024,Q2,Chhattisgarh,15724,25935743.0
2024,Q2,Jammu & Kashmir,7397,14237707.0
2024,Q2,Goa,5021,7178558.0
2024,Q2,Arunachal Pradesh,1147,2353015.0
2024,Q2,Delhi,46189,68046072.0
2024,Q2,Uttarakhand,10311,17754447.0
2023,Q2,Puducherry,1809,2614006.0
2023,Q2,Tamil Nadu,79698,105328191.0
2023,Q2,Uttar Pradesh,74194,122522457.0
2023,Q2,Madhya Pradesh,27027,44871764.0
2023,Q2,Andhra Pradesh,36376,52067478.0
2023,Q2,Tripura,1563,2163813.0
2023,Q2,Lakshadweep,15,38384.0
2023,Q2,Manipur,123,341671.0
2023,Q2,Maharashtra,102754,157303399.0
2023,Q2,Dadra & Nagar Haveli & Daman & Diu,694,1058753.0
2023,Q2,Meghalaya,730,1551577.0
2023,Q2,Andaman & Nicobar Islands,768,1233395.0
2023,Q2,Haryana,40710,62186066.0
2023,Q2,Rajasthan,37170,61301449.0
2023,Q2,Ladakh,215,635831.0
2023,Q2,Punjab,13187,24998175.0
2023,Q2,Assam,16475,28368139.0
2023,Q2,Jharkhand,16662,23216215.0
2023,Q2,Odisha,22163,31307110.0
2023,Q2,Bihar,29212,40354886.0
2023,Q2,Kerala,61032,100620604.0
2023,Q2,Karnataka,117232,175704013.0
2023,Q2,Chandigarh,1704,2501107.0
2023,Q2,Telangana,55118,79238968.0
2023,Q2,Himachal Pradesh,4197,8499425.0
2023,Q2,West Bengal,49792,65204280.0
2023,Q2,Gujarat,32484,46254095.0
2023,Q2,Sikkim,270,628191.0
2023,Q2,Nagaland,269,628890.0
2023,Q2,Mizoram,119,232928.0
2023,Q2,Chhattisgarh,10514,16389610.0
2023,Q2,Jammu & Kashmir,5262,10974839.0
2023,Q2,Goa,4166,5930801.0
2023,Q2,Arunachal Pradesh,696,2095988.0
2023,Q2,Delhi,41358,54951108.0
2023,Q2,Uttarakhand,8051,14034915.0
2023,Q4,Puducherry,2447,3419395.0
2023,Q4,Tamil Nadu,104871,139433796.0
2023,Q4,Uttar Pradesh,92125,165509877.0
2023,Q4,Madhya Pradesh,40784,73801070.0
2023,Q4,Andhra Pradesh,41798,62342423.0
2023,Q4,Tripura,2237,3169741.0
2023,Q4,Lakshadweep,53,78346.0
2023,Q4,Manipur,225,476626.0
2023,Q4,Maharashtra,136968,217657114.0
2023,Q4,Dadra & Nagar Haveli & Daman & Diu,1207,1973867.0
2023,Q4,Meghalaya,806,1843364.0
2023,Q4,Andaman & Nicobar Islands,1145,1757821.0
2023,Q4,Haryana,47506,80747159.0
2023,Q4,Rajasthan,49741,94701652.0
2023,Q4,Ladakh,242,718967.0
2023,Q4,Punjab,13777,28715828.0
2023,Q4,Assam,23168,38731734.0
2023,Q4,Jharkhand,22398,33484644.0
2023,Q4,Odisha,25065,39753392.0
2023,Q4,Bihar,41447,57624322.0
2023,Q4,Kerala,73543,121905046.0
2023,Q4,Karnataka,156076,248056311.0
2023,Q4,Chandigarh,1767,3053934.0
2023,Q4,Telangana,63993,105605522.0
2023,Q4,Himachal Pradesh,5211,11898824.0
2023,Q4,West Bengal,72712,100365562.0
2023,Q4,Gujarat,41128,66735446.0
2023,Q4,Sikkim,324,793745.0
2023,Q4,Nagaland,331,822973.0
2023,Q4,Mizoram,312,557950.0
2023,Q4,Chhattisgarh,17300,29704673.0
2023,Q4,Jammu & Kashmir,6264,13932309.0
2023,Q4,Goa,4883,7411001.0
2023,Q4,Arunachal Pradesh,809,2105408.0
2023,Q4,Delhi,56336,77332401.0
2023,Q4,Uttarakhand,10040,19045152.0
2023,Q1,Puducherry,1955,2593091.0
2023,Q1,Tamil Nadu,90690,116710222.0
2023,Q1,Uttar Pradesh,73080,127110494.0
2023,Q1,Madhya Pradesh,26393,45135679.0
2023,Q1,Andhra Pradesh,34920,51963355.0
2023,Q1,Tripura,1642,2404958.0
2023,Q1,Lakshadweep,26,30199.0
2023,Q1,Manipur,222,632084.0
2023,Q1,Maharashtra,112174,166596248.0
2023,Q1,Dadra & Nagar Haveli & Daman & Diu,799,1215168.0
2023,Q1,Meghalaya,562,1187523.0
2023,Q1,Andaman & Nicobar Islands,1004,1439198.0
2023,Q1,Haryana,37287,61127194.0
2023,Q1,Rajasthan,34415,61441050.0
2023,Q1,Ladakh,161,495736.0
2023,Q1,Punjab,10816,23330966.0
2023,Q1,Assam,22100,36963888.0
2023,Q1,Jharkhand,16108,23823406.0
2023,Q1,Odisha,18899,29360555.0
2023,Q1,Bihar,26929,38746711.0
2023,Q1,Kerala,62377,101786828.0
2023,Q1,Karnataka,127376,186543426.0
2023,Q1,Chandigarh,1520,2415574.0
2023,Q1,Telangana,54508,82678207.0
2023,Q1,Himachal Pradesh,3909,7826133.0
2023,Q1,West Bengal,56833,77461732.0
2023,Q1,Gujarat,32600,46937694.0
2023,Q1,Sikkim,260,688605.0
2023,Q1,Nagaland,320,704957.0
2023,Q1,Mizoram,171,326688.0
2023,Q1,Chhattisgarh,10460,16577191.0
2023,Q1,Jammu & Kashmir,4555,10275877.0
2023,Q1,Goa,4097,5859549.0
2023,Q1,Arunachal Pradesh,606,1747475.0
2023,Q1,Delhi,45821,61040038.0
2023,Q1,Uttarakhand,7552,13599026.0
2023,Q3,Puducherry,2232,2891647.0
2023,Q3,Tamil Nadu,91069,114625593.0
2023,Q3,Uttar Pradesh,78940,121483170.0
2023,Q3,Madhya Pradesh,29300,46963348.0
2023,Q3,Andhra Pradesh,43150,57802396.0
2023,Q3,Tripura,2071,2899393.0
2023,Q3,Lakshadweep,12,12407.0
2023,Q3,Manipur,76,193021.0
2023,Q3,Maharashtra,104872,151171882.0
2023,Q3,Dadra & Nagar Haveli & Daman & Diu,969,1333103.0
2023,Q3,Meghalaya,809,1728076.0
2023,Q3,Andaman & Nicobar Islands,795,1251145.0
2023,Q3,Haryana,42815,61782311.0
2023,Q3,Rajasthan,39960,64328784.0
2023,Q3,Ladakh,232,649027.0
2023,Q3,Punjab,14048,24461488.0
2023,Q3,Assam,22593,35618158.0
2023,Q3,Jharkhand,19478,25165702.0
2023,Q3,Odisha,20263,29008350.0
2023,Q3,Bihar,36550,45832355.0
2023,Q3,Kerala,66059,110021582.0
2023,Q3,Karnataka,139699,199448538.0
2023,Q3,Chandigarh,1883,2660630.0
2023,Q3,Telangana,61523,84397465.0
2023,Q3,Himachal Pradesh,3935,7869767.0
2023,Q3,West Bengal,58131,76359312.0
2023,Q3,Gujarat,51049,65768085.0
2023,Q3,Sikkim,251,698251.0
2023,Q3,Nagaland,268,632287.0
2023,Q3,Mizoram,166,271799.0
2023,Q3,Chhattisgarh,11927,17838382.0
2023,Q3,Jammu & Kashmir,5453,10975874.0
2023,Q3,Goa,3927,5646054.0
2023,Q3,Arunachal Pradesh,718,1904786.0
2023,Q3,Delhi,47113,58878500.0
2023,Q3,Uttarakhand,7856,12636749.0
2022,Q4,Puducherry,2331,2693130.0
2022,Q4,Tamil Nadu,125491,146457790.0
2022,Q4,Uttar Pradesh,77022,116755813.0
2022,Q4,Madhya Pradesh,29234,42712883.0
2022,Q4,Andhra Pradesh,44329,58043239.0
2022,Q4,Tripura,1508,2112534.0
2022,Q4,Lakshadweep,15,27135.0
2022,Q4,Manipur,271,620655.0
2022,Q4,Maharashtra,125900,174915648.0
2022,Q4,Dadra & Nagar Haveli & Daman & Diu,871,1272628.0
2022,Q4,Meghalaya,627,1189529.0
2022,Q4,Andaman & Nicobar Islands,901,1441210.0
2022,Q4,Haryana,37971,56627115.0
2022,Q4,Rajasthan,40926,60792838.0
2022,Q4,Ladakh,162,410091.0
2022,Q4,Punjab,12187,21727831.0
2022,Q4,Assam,18826,29239168.0
2022,Q4,Jharkhand,16779,23147805.0
2022,Q4,Odisha,24538,33565401.0
2022,Q4,Bihar,33895,43914519.0
2022,Q4,Kerala,65563,103982997.0
2022,Q4,Karnataka,133971,185063287.0
2022,Q4,Chandigarh,1403,2024528.0
2022,Q4,Telangana,64655,88544127.0
2022,Q4,Himachal Pradesh,4565,9060436.0
2022,Q4,West Bengal,54277,70466433.0
2022,Q4,Gujarat,36418,50629325.0
2022,Q4,Sikkim,306,667214.0
2022,Q4,Nagaland,367,700864.0
2022,Q4,Mizoram,350,612551.0
2022,Q4,Chhattisgarh,11994,18137856.0
2022,Q4,Jammu & Kashmir,5031,10111183.0
2022,Q4,Goa,4388,6190669.0
2022,Q4,Arunachal Pradesh,613,1464572.0
2022,Q4,Delhi,48908,60603173.0
2022,Q4,Uttarakhand,8750,13817747.0
2022,Q2,Puducherry,1156,1597786.0
2022,Q2,Tamil Nadu,46714,61835120.0
2022,Q2,Uttar Pradesh,55133,77434953.0
2022,Q2,Madhya Pradesh,14629,20159098.0
2022,Q2,Andhra Pradesh,32185,41708072.0
2022,Q2,Tripura,1021,1509105.0
2022,Q2,Lakshadweep,18,27463.0
2022,Q2,Manipur,218,553649.0
2022,Q2,Maharashtra,80935,104603934.0
